Produkt,Datum,prognose,lo80,hi80,lo95,hi95
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-03-01,109.30000000000011,98.69080385010108,121.28512826558759,93.56935901757322,128.2569850493349
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-04-01,109.30000000000011,98.45620148757082,121.58537979430697,93.23272803331628,128.74795721596203
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-05-01,109.30000000000011,98.22751045582726,121.879731697207,92.90504848128609,129.2300423026392
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",2026-06-01,109.30000000000011,98.00434721536473,122.16856751575698,92.58573614817189,129.70382454792906
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-07-01,163.43766669073145,105.42036947103234,205.69551073821472,53.44589101617252,224.87380090652857
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-08-01,163.43766669073145,102.44223917201431,207.19487488961005,43.70094904786646,226.96921178900206
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-09-01,163.43766669073145,99.48943840817405,208.62888517774164,31.59005262830069,228.96939663844788
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-10-01,163.43766669073145,96.55215720183308,210.0044595108732,10.833862613327263,230.88459127272472
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-11-01,163.43766669073145,93.62135148738145,211.3273931286968,-27.109426752963756,232.72335750050755
"Sonnenblumenöl, Rapsöl oder Ähnliches",2025-12-01,163.43766669073145,90.68844029615047,212.60259713432743,-39.51685021532836,234.49294044136266
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-01-01,163.43766669073145,87.74504863617604,213.83427568536365,-48.628835219235974,236.19953367598566
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-02-01,163.43766669073145,84.78277292745564,215.0260600711963,-56.09239529385068,237.84847967400327
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-03-01,163.43766669073145,81.79294999346298,216.18111183219565,-62.514094241579926,239.44442378904483
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-04-01,163.43766669073145,78.76641159775117,217.30220322463313,-68.1995636348396,240.99143430539647
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-05-01,163.43766669073145,75.6932046823695,218.39178082613773,-73.32902550635474,242.49309724158726
"Sonnenblumenöl, Rapsöl oder Ähnliches",2026-06-01,163.43766669073145,72.56225239168661,219.45201640322716,-78.01955059745828,243.9525920978684
"Soßenpulver, Soßenbinder oder Ähnliches",2025-07-01,145.02990302850498,132.33754225227915,160.25333593566248,126.43980348135976,169.60358547148277
"Soßenpulver, Soßenbinder oder Ähnliches",2025-08-01,146.01669092765772,132.739896712138,162.06582751505553,126.60272644760227,171.9907948503197
"Soßenpulver, Soßenbinder oder Ähnliches",2025-09-01,147.01631380710768,133.1590736555529,163.8961595966727,126.78623941454576,174.405642959436
"Soßenpulver, Soßenbinder oder Ähnliches",2025-10-01,148.0290191703367,133.5939657039649,165.74629079778742,126.9885813988991,176.8513442538084
"Soßenpulver, Soßenbinder oder Ähnliches",2025-11-01,149.05506091668536,134.04365261684248,167.61802155837145,127.20827471855108,179.33089025346126
"Soßenpulver, Soßenbinder oder Ähnliches",2025-12-01,150.0946994837886,134.5073638046017,169.51303273776023,127.44406785904901,181.84710968081518
"Soßenpulver, Soßenbinder oder Ähnliches",2026-01-01,151.1482020762824,134.984450005256,171.43291529555782,127.69489227586816,184.4027150814699
"Soßenpulver, Soßenbinder oder Ähnliches",2026-02-01,152.21584288071313,135.47436152339966,173.37919342943732,127.95982920866847,187.000339590011
"Soßenpulver, Soßenbinder oder Ähnliches",2026-03-01,153.29790329522876,135.97663127912898,175.3533429922028,128.2380838225989,189.64256662067464
"Soßenpulver, Soßenbinder oder Ähnliches",2026-04-01,154.39467216650996,136.49086143450853,177.3568064068124,128.52896480095077,192.33195435455235
"Soßenpulver, Soßenbinder oder Ähnliches",2026-05-01,155.50644603658185,137.01671272303597,179.3910049642518,128.83186805475611,195.0710563835899
"Soßenpulver, Soßenbinder oder Ähnliches",2026-06-01,156.63352939933336,137.55389584831804,181.45734914205207,129.14626358338717,197.86243949709146
Speiseeis,2025-07-01,144.13373098167045,129.97609387331545,161.53934514407754,123.50473878795367,172.46514262148972
Speiseeis,2025-08-01,145.08193044050049,130.26656290210906,163.4632019890613,123.53508232476553,175.0958039474532
Speiseeis,2025-09-01,146.04205190372582,130.57542745697066,165.40416358921948,123.58907879914,177.75658850769517
Speiseeis,2025-10-01,147.0143175955422,130.9012294428053,167.36458818113914,123.66445555794111,180.45149887502743
Speiseeis,2025-11-01,147.998955246747,131.24275609906127,169.34662017069186,123.75931177789754,183.1842419096126
Speiseeis,2025-12-01,148.9961982654052,131.59898921905764,171.35224232187727,123.872041153826,185.9583103134601
Speiseeis,2026-01-01,150.00628591389534,131.9690670970125,173.3833152946078,124.00127397206319,188.77704508633445
