Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Rindfleisch zum Kochen,66,-0.5730739635227418,0.4893866996573792,10.673673582482792,-84.75222363405337,11.343804537521818,99.6,24,-75.90361445783132,Fleisch & Wurst
"Getreideprodukt, vegetarisch oder vegan",66,-1.0513671640090725,0.09461507122486834,9.896619118045312,-79.59183673469387,4.046242774566466,102.3,23,-77.51710654936461,Getreide & Backwaren
Backmischung für Kuchen,60,-0.9435490892576356,0.21593045765677665,10.87762795968242,-83.16755929609793,5.951219512195127,100.8,22,-78.17460317460318,Getreide & Backwaren
"Cornflakes, Müsli oder Ähnliches",66,-0.913869644227476,0.29169250665537216,10.383546513088035,-83.14606741573034,7.026563838903166,99.9,21,-78.97897897897899,Getreide & Backwaren
Haferflocken,60,-0.8666620710289084,0.1962801161885852,11.359251183564313,-85.46511627906976,7.602792862684238,100.2,20,-80.03992015968065,Getreide & Backwaren
Nudelfertiggericht,66,-0.6021584852851232,0.06854009595612665,11.198685637349527,-87.96706776440786,8.058252427184453,99.6,19,-80.92369477911646,Getreide & Backwaren
Nudeln,60,-0.8800045908644994,0.3498445950906648,11.48557309005133,-87.31501057082453,6.8829113924050445,101.5,18,-82.26600985221675,Getreide & Backwaren
"Pizza, Quiches oder Ähnliches",66,-0.8592269950260756,0.25829954853088255,10.949473573588984,-87.34177215189874,7.552320291173786,99.9,17,-82.98298298298299,Getreide & Backwaren
Salzgebäck,66,-0.8313277200224943,0.3262719034121675,11.254638249730284,-88.61209964412812,7.404520654715507,102.4,16,-84.375,Getreide & Backwaren
Toastbrot,66,-0.8700353665112184,0.10767159407725212,11.217965791537027,-88.97869213813372,10.063335679099229,100.8,15,-85.11904761904762,Getreide & Backwaren
